INFO com.baizhi.controller.UserController#userLogin 2019-07-14 20:22:35 inputVector:671.8800000016927,1390.9649999986868,1478.6800000001676| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 20:24:38 inputVector:1016.6450000033365,1232.624999996915,2231.564999994589| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 20:29:44 inputVector:662.4100000044564,671.7350000035367,1977.7949999988778| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 20:30:00 inputVector:662.4100000044564,11823.819999997795,2406.3099999984843| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:03:52 inputVector:834.8449999975855,1250.7249999980559,2867.3649999982445| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:10:06 inputVector:977.8000000005704,1398.2299999988754,1847.154999995837| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:18:51 inputVector:769.3900000012945,1279.529999999795,1373.9100000020699| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:21:12 inputVector:667.9300000032526,1306.8500000008498,1702.6499999992666| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:23:55 inputVector:730.1850000003469,1270.4950000043027,4818.475000000035| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:29:55 inputVector:735.3650000004563,1299.6899999998277,2038.8650000022608| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:127.0.0.1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:32:27 inputVector:630.1999999996042,1278.3049999998184,1350.4600000014761| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:36:31 inputVector:669.8950000063633,1287.5899999999092,1821.0800000015297| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:127.0.0.1
INFO com.baizhi.controller.UserController#userLogin 2019-07-14 21:50:52 inputVector:1579.9250000054599,1609.600000003411,3683.279999997467| User-Agent:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36 address:0:0:0:0:0:0:0:1
